am_sid,sciname,reviewed,iucn_sid,popn_trend,popn_category,spp_group,id_no,spatial_source,name_verified
NA,Distira mertoni,NA,176772,Unknown,DD,REPTILES,176772,iucn,TRUE
NA,Parahydrophis mertoni,NA,176772,Unknown,DD,REPTILES,176772,iucn,TRUE
NA,Helicops hogei,NA,176811,Unknown,LC,REPTILES,176811,iucn,TRUE
NA,Helicops scalaris,NA,176811,Unknown,LC,REPTILES,176811,iucn,TRUE
NA,Acrostichum aureum,NA,177110,Stable,LC,MANGROVES,177110,iucn,TRUE
NA,Amphiesma mairii,NA,177521,Stable,LC,REPTILES,177521,iucn,TRUE
NA,Katophis plumbea,NA,177521,Stable,LC,REPTILES,177521,iucn,TRUE
NA,Natrix mairii,NA,177521,Stable,LC,REPTILES,177521,iucn,TRUE
NA,Styporhynchus mairii,NA,177521,Stable,LC,REPTILES,177521,iucn,TRUE
NA,Tropidonophis mairii,NA,177521,Stable,LC,REPTILES,177521,iucn,TRUE
NA,Tropidonotus angusticeps,NA,177521,Stable,LC,REPTILES,177521,iucn,TRUE
NA,Tropidonotus ater,NA,177521,Stable,LC,REPTILES,177521,iucn,TRUE
NA,Tropidonotus australis,NA,177521,Stable,LC,REPTILES,177521,iucn,TRUE
NA,Tropidonotus mairii,NA,177521,Stable,LC,REPTILES,177521,iucn,TRUE
NA,Tropidonotus semicinctus,NA,177521,Stable,LC,REPTILES,177521,iucn,TRUE
NA,Fowlea peguensis,NA,177578,Stable,LC,REPTILES,177578,iucn,TRUE
NA,Natrix punctulata,NA,177578,Stable,LC,REPTILES,177578,iucn,TRUE
NA,Nerodia punctulata,NA,177578,Stable,LC,REPTILES,177578,iucn,TRUE
NA,Tropidonotus punctulatus,NA,177578,Stable,LC,REPTILES,177578,iucn,TRUE
NA,Xenochrophis punctulatus,NA,177578,Stable,LC,REPTILES,177578,iucn,TRUE
Fis-25954,Ctenochaetus strigosus,null,177949,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177949,iucn,TRUE
NA,Acanthurus strigosus,NA,177949,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177949,iucn,TRUE
Fis-23658,Naso lituratus,1,177950,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177950,iucn,TRUE
NA,Acanthurus lituratus,NA,177950,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177950,iucn,TRUE
NA,Aspisurus carolinarum,NA,177950,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177950,iucn,TRUE
NA,Callicanthus lituratus,NA,177950,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177950,iucn,TRUE
NA,Monoceros garretti,NA,177950,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177950,iucn,TRUE
NA,Naso literatus,NA,177950,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177950,iucn,TRUE
NA,Prionurus eoume,NA,177950,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177950,iucn,TRUE
Fis-146734,Naso tonganus,null,177951,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177951,iucn,TRUE
NA,Naseus tonganus,NA,177951,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177951,iucn,TRUE
Fis-121230,Prionurus scalprum,null,177952,Stable,DD,SURGEONFISH_TANGS_UNICORNFISH,177952,iucn,TRUE
NA,Prionurus scalprus,NA,177952,Stable,DD,SURGEONFISH_TANGS_UNICORNFISH,177952,iucn,TRUE
NA,Xesurus scalprum,NA,177952,Stable,DD,SURGEONFISH_TANGS_UNICORNFISH,177952,iucn,TRUE
Fis-29261,Acanthurus coeruleus,1,177953,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177953,iucn,TRUE
NA,Acanthurus brevis,NA,177953,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177953,iucn,TRUE
NA,Acanthurus broussonnetii,NA,177953,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177953,iucn,TRUE
NA,Acanthurus caeruleus,NA,177953,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177953,iucn,TRUE
NA,Acanthurus coerulus,NA,177953,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177953,iucn,TRUE
NA,Acanthurus heliodes,NA,177953,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177953,iucn,TRUE
NA,Acanthurus violaceus,NA,177953,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177953,iucn,TRUE
NA,Acronurus caeruleatus,NA,177953,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177953,iucn,TRUE
NA,Hepatus caeruleus,NA,177953,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177953,iucn,TRUE
NA,Hepatus pawnee,NA,177953,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177953,iucn,TRUE
NA,Teuthis coeruleus,NA,177953,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177953,iucn,TRUE
NA,Teuthis helioides,NA,177953,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177953,iucn,TRUE
Fis-142748,Naso reticulatus,null,177954,Unknown,DD,SURGEONFISH_TANGS_UNICORNFISH,177954,iucn,TRUE
Fis-31620,Ctenochaetus binotatus,null,177955,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177955,iucn,TRUE
NA,Ctenochaetus oculocoeruleus,NA,177955,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177955,iucn,TRUE
NA,Prionurus chrysurus,NA,177956,Unknown,DD,SURGEONFISH_TANGS_UNICORNFISH,177956,iucn,TRUE
Fis-25286,Acanthurus maculiceps,1,177957,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177957,iucn,TRUE
NA,Hepatus maculiceps,NA,177957,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177957,iucn,TRUE
Fis-145166,Ctenochaetus cyanocheilus,1,177958,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177958,iucn,TRUE
Fis-31083,Acanthurus fowleri,null,177959,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177959,iucn,TRUE
Fis-30911,Acanthurus achilles,1,177960,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177960,iucn,TRUE
NA,Acanthurus achillas,NA,177960,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177960,iucn,TRUE
NA,Acanthurus aterrimus,NA,177960,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177960,iucn,TRUE
NA,Hepatus achilles,NA,177960,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177960,iucn,TRUE
NA,Hepatus aterrimus,NA,177960,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177960,iucn,TRUE
NA,Teuthis achilles,NA,177960,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177960,iucn,TRUE
NA,Teuthis aterrimus,NA,177960,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177960,iucn,TRUE
Fis-25281,Acanthurus nubilus,null,177961,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177961,iucn,TRUE
NA,Harpurina nubilus,NA,177961,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177961,iucn,TRUE
NA,Hepatus nubilus,NA,177961,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177961,iucn,TRUE
Fis-32459,Naso fageni,null,177962,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177962,iucn,TRUE
NA,Cyphomycter cavallo,NA,177962,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177962,iucn,TRUE
NA,Cyphomycter fageni,NA,177962,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177962,iucn,TRUE
NA,Rhinodactylus baixopindae,NA,177962,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177962,iucn,TRUE
Fis-146732,Naso mcdadei,null,177963,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177963,iucn,TRUE
Fis-25953,Ctenochaetus marginatus,1,177964,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177964,iucn,TRUE
NA,Acanthurus marginatus,NA,177964,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177964,iucn,TRUE
NA,Ctenochaetus cyanoguttatus,NA,177964,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177964,iucn,TRUE
NA,Ctenochaetus magnus,NA,177964,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177964,iucn,TRUE
Fis-23321,Acanthurus triostegus,null,177965,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177965,iucn,TRUE
NA,Acanthurus hirudo,NA,177965,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177965,iucn,TRUE
NA,Acanthurus pentazona,NA,177965,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177965,iucn,TRUE
NA,Acanthurus subarmatus,NA,177965,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177965,iucn,TRUE
NA,Acanthurus triastegus,NA,177965,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177965,iucn,TRUE
NA,Acanthurus triostegus marquesensis,NA,177965,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177965,iucn,TRUE
NA,Acanthurus triostegus sandvicensis,NA,177965,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177965,iucn,TRUE
NA,Acanthurus triostegus triostegus,NA,177965,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177965,iucn,TRUE
NA,Acanthurus triostegust,NA,177965,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177965,iucn,TRUE
NA,Acanthurus zebra,NA,177965,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177965,iucn,TRUE
NA,Chaetodon couaga,NA,177965,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177965,iucn,TRUE
NA,Chaetodon triostegus,NA,177965,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177965,iucn,TRUE
NA,Harpurus fasciatus,NA,177965,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177965,iucn,TRUE
NA,Hepatus sandvicensis,NA,177965,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177965,iucn,TRUE
NA,Hepatus triostegus,NA,177965,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177965,iucn,TRUE
NA,Rhombotides pentazona,NA,177965,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177965,iucn,TRUE
NA,Rhombotides triostegus,NA,177965,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177965,iucn,TRUE
NA,Teuthis australis,NA,177965,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177965,iucn,TRUE
NA,Teuthis elegans,NA,177965,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177965,iucn,TRUE
NA,Teuthis sandvicensis,NA,177965,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177965,iucn,TRUE
NA,Teuthis triostegus,NA,177965,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177965,iucn,TRUE
NA,Teuthis troughtoni,NA,177965,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177965,iucn,TRUE
NA,Acanthurus chronixis,NA,177966,Unknown,VU,SURGEONFISH_TANGS_UNICORNFISH,177966,iucn,TRUE
Fis-29578,Acanthurus mata,1,177967,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177967,iucn,TRUE
NA,Acanthurus bleekeri,NA,177967,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177967,iucn,TRUE
NA,Acanthurus weberi,NA,177967,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177967,iucn,TRUE
NA,Chaetodon mata,NA,177967,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177967,iucn,TRUE
NA,Chaetodon meta,NA,177967,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177967,iucn,TRUE
Fis-62061,Naso caeruleacauda,null,177968,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177968,iucn,TRUE
NA,Acanthurus aliala,NA,177969,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177969,iucn,TRUE
NA,Acanthurus glaucoparecius,NA,177969,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177969,iucn,TRUE
NA,Acanthurus glaucopareius,NA,177969,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177969,iucn,TRUE
NA,Chaetodon nigricans,NA,177969,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177969,iucn,TRUE
Fis-23659,Naso unicornis,null,177970,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177970,iucn,TRUE
NA,Acanthurus unicornis,NA,177970,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177970,iucn,TRUE
NA,Chaetodon unicornis,NA,177970,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177970,iucn,TRUE
Fis-31087,Acanthurus blochii,1,177971,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177971,iucn,TRUE
Fis-25955,Paracanthurus hepatus,null,177972,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177972,iucn,TRUE
NA,Acanthurus hepatus,NA,177972,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177972,iucn,TRUE
NA,Acanthurus theuthis,NA,177972,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177972,iucn,TRUE
NA,Paracanthurus theuthis,NA,177972,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177972,iucn,TRUE
NA,Teuthis hepatus,NA,177972,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177972,iucn,TRUE
Fis-26618,Zebrasoma gemmatum,null,177973,Unknown,DD,SURGEONFISH_TANGS_UNICORNFISH,177973,iucn,TRUE
NA,Acanthurus gemmatus,NA,177973,Unknown,DD,SURGEONFISH_TANGS_UNICORNFISH,177973,iucn,TRUE
Fis-31085,Acanthurus auranticavus,1,177974,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177974,iucn,TRUE
Fis-26340,Naso minor,null,177975,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177975,iucn,TRUE
NA,Axinurus minor,NA,177975,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177975,iucn,TRUE
Fis-143896,Acanthurus reversus,null,177976,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177976,iucn,TRUE
Fis-53679,Acanthurus japonicus,null,177977,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177977,iucn,TRUE
NA,Acanthurus japonica,NA,177977,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177977,iucn,TRUE
NA,Hepatus aliala japonicus,NA,177977,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177977,iucn,TRUE
NA,Acanthurus bariene,NA,177978,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177978,iucn,TRUE
NA,Acanthurus kingii,NA,177978,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177978,iucn,TRUE
NA,Acanthurus nummifer,NA,177978,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177978,iucn,TRUE
Fis-31623,Naso lopezi,null,177979,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177979,iucn,TRUE
NA,Naso lopezii,NA,177979,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177979,iucn,TRUE
Fis-26339,Naso thynnoides,null,177980,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177980,iucn,TRUE
NA,Axinurus thynnoides,NA,177980,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177980,iucn,TRUE
NA,Naso thynoides,NA,177980,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177980,iucn,TRUE
Fis-29579,Acanthurus dussumieri,1,177981,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177981,iucn,TRUE
NA,Acanthurus dussumiere,NA,177981,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177981,iucn,TRUE
NA,Acanthurus dussumierri,NA,177981,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177981,iucn,TRUE
NA,Acanthurus lamarrii,NA,177981,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177981,iucn,TRUE
NA,Acanthurus undulatus,NA,177981,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177981,iucn,TRUE
NA,Hepatus dussumieri,NA,177981,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177981,iucn,TRUE
NA,Rhombotides dussumieri,NA,177981,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177981,iucn,TRUE
NA,Rhombotides lamarrii,NA,177981,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177981,iucn,TRUE
NA,Teuthis dussumieri,NA,177981,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177981,iucn,TRUE
Fis-22976,Acanthurus chirurgus,null,177982,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177982,iucn,TRUE
NA,Acanthurus phlebotomus,NA,177982,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177982,iucn,TRUE
NA,Chaetodon chirurgus,NA,177982,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177982,iucn,TRUE
Fis-25958,Naso brachycentron,null,177983,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177983,iucn,TRUE
NA,Naseus brachycentron,NA,177983,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177983,iucn,TRUE
NA,Naso rigoletto,NA,177983,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177983,iucn,TRUE
NA,Prionolepis hewitti,NA,177983,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177983,iucn,TRUE
Fis-25280,Acanthurus polyzona,null,177984,Unknown,DD,SURGEONFISH_TANGS_UNICORNFISH,177984,iucn,TRUE
NA,Acanthurus triostegus polyzona,NA,177984,Unknown,DD,SURGEONFISH_TANGS_UNICORNFISH,177984,iucn,TRUE
NA,Rhombotides polyzona,NA,177984,Unknown,DD,SURGEONFISH_TANGS_UNICORNFISH,177984,iucn,TRUE
Fis-29260,Acanthurus bahianus,1,177985,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177985,iucn,TRUE
NA,Acanthurus randalli,NA,177985,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177985,iucn,TRUE
NA,Acanthurus tractus,NA,177985,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177985,iucn,TRUE
NA,Acronurus nigriculus,NA,177985,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177985,iucn,TRUE
Fis-31622,Ctenochaetus tominiensis,null,177986,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177986,iucn,TRUE
NA,Ctenochaetus tominienis,NA,177986,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177986,iucn,TRUE
Fis-25285,Acanthurus sohal,null,177987,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177987,iucn,TRUE
NA,Acanthurus carinatus,NA,177987,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177987,iucn,TRUE
NA,Acanthurus ruppelii,NA,177987,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177987,iucn,TRUE
NA,Chaetodon sohal,NA,177987,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177987,iucn,TRUE
Fis-25957,Naso annulatus,null,177988,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177988,iucn,TRUE
NA,Naso herrei,NA,177988,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177988,iucn,TRUE
NA,Priodon annulatus,NA,177988,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177988,iucn,TRUE
Fis-29584,Acanthurus xanthopterus,null,177989,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177989,iucn,TRUE
NA,Acanthurus crestonis,NA,177989,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177989,iucn,TRUE
NA,Acanthurus rasi,NA,177989,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177989,iucn,TRUE
NA,Acanthurus reticulatus,NA,177989,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177989,iucn,TRUE
NA,Hepatus aquilinus,NA,177989,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177989,iucn,TRUE
NA,Hepatus crestonis,NA,177989,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177989,iucn,TRUE
NA,Hepatus guntheri,NA,177989,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177989,iucn,TRUE
NA,Hepatus xanthopterus,NA,177989,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177989,iucn,TRUE
NA,Teuthis crestonis,NA,177989,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177989,iucn,TRUE
NA,Teuthis guntheri,NA,177989,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177989,iucn,TRUE
NA,Teuthis guentheri,NA,177989,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177989,iucn,TRUE
NA,Teuthis xanthopterus,NA,177989,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177989,iucn,TRUE
Fis-25959,Naso brevirostris,null,177990,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177990,iucn,TRUE
NA,Cyphomycter coryphaenoides,NA,177990,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177990,iucn,TRUE
NA,Naseus brevirostris,NA,177990,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177990,iucn,TRUE
Fis-31082,Acanthurus olivaceus,1,177991,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177991,iucn,TRUE
NA,Acanthurus chrysosoma,NA,177991,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177991,iucn,TRUE
NA,Acanthurus eparei,NA,177991,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177991,iucn,TRUE
NA,Acanthurus humeralis,NA,177991,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177991,iucn,TRUE
NA,Ctenodon erythromelas,NA,177991,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177991,iucn,TRUE
NA,Harpurus paroticus,NA,177991,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177991,iucn,TRUE
NA,Hepatus chrysosoma,NA,177991,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177991,iucn,TRUE
NA,Hepatus olivaceus,NA,177991,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177991,iucn,TRUE
NA,Rhombotides olivaceus,NA,177991,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177991,iucn,TRUE
NA,Rhombotides xanthosoma,NA,177991,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177991,iucn,TRUE
NA,Teuthis olivaceus,NA,177991,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177991,iucn,TRUE
Fis-145167,Ctenochaetus truncatus,null,177992,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177992,iucn,TRUE
Fis-23320,Acanthurus lineatus,1,177993,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177993,iucn,TRUE
NA,Acanthurus vittatus,NA,177993,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177993,iucn,TRUE
NA,Chaetodon lineatus,NA,177993,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177993,iucn,TRUE
NA,Ctenodon lineatus,NA,177993,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177993,iucn,TRUE
NA,Harpurus lineatus,NA,177993,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177993,iucn,TRUE
NA,Hepatus lineatus,NA,177993,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177993,iucn,TRUE
NA,Rhombotides lineatus,NA,177993,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177993,iucn,TRUE
NA,Teuthis lineatus,NA,177993,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177993,iucn,TRUE
Fis-31080,Acanthurus leucocheilus,null,177994,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177994,iucn,TRUE
NA,Acanthurus leuocheilus,NA,177994,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177994,iucn,TRUE
NA,Acanthurus leuococheilus,NA,177994,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177994,iucn,TRUE
Fis-31078,Acanthurus guttatus,null,177995,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177995,iucn,TRUE
NA,Harpurus guttatus,NA,177995,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177995,iucn,TRUE
NA,Hepatus guttatus,NA,177995,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177995,iucn,TRUE
NA,Rhombotides guttatus,NA,177995,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177995,iucn,TRUE
NA,Teuthis guttatus,NA,177995,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177995,iucn,TRUE
NA,Zabrasoma guttatus,NA,177995,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,177995,iucn,TRUE
Fis-4576,Acanthurus tennentii,null,177997,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177997,iucn,TRUE
NA,Acanthurus bicommatus,NA,177997,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177997,iucn,TRUE
NA,Acanthurus plagiatus,NA,177997,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177997,iucn,TRUE
NA,Acanthurus tennenti,NA,177997,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177997,iucn,TRUE
Fis-35352,Acanthurus tristis,1,177998,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177998,iucn,TRUE
Fis-31079,Acanthurus nigroris,1,177999,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177999,iucn,TRUE
NA,Acanthurus atramentatus,NA,177999,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177999,iucn,TRUE
NA,Acanthurus bipunctatus,NA,177999,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177999,iucn,TRUE
NA,Hepatus atramentatus,NA,177999,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177999,iucn,TRUE
NA,Teuthis atrimentatus,NA,177999,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,177999,iucn,TRUE
Fis-29580,Acanthurus leucosternon,1,178000,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,178000,iucn,TRUE
NA,Acanthurus delisiani,NA,178000,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,178000,iucn,TRUE
NA,Acanthurus delisianus,NA,178000,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,178000,iucn,TRUE
NA,Acanthurus leucosternum,NA,178000,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,178000,iucn,TRUE
NA,Hepatus leucosternon,NA,178000,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,178000,iucn,TRUE
NA,Rhombotides leucosternon,NA,178000,Unknown,LC,SURGEONFISH_TANGS_UNICORNFISH,178000,iucn,TRUE
Fis-58814,Zebrasoma rostratum,null,178001,Unknown,DD,SURGEONFISH_TANGS_UNICORNFISH,178001,iucn,TRUE
NA,Acanthurus rostratus,NA,178001,Unknown,DD,SURGEONFISH_TANGS_UNICORNFISH,178001,iucn,TRUE
Fis-23657,Naso hexacanthus,null,178002,Stable,LC,SURGEONFISH_TANGS_UNICORNFISH,178002,iucn,TRUE
