am_sid,sciname,iucn_id,sciname_worrms,status,sciname_accepted,am_name_ver
Fis-30817,Hexagrammos stelleri,NA,Hexagrammos stelleri,accepted,Hexagrammos stelleri,TRUE
Fis-23157,Hexanchus griseus,10030,Hexanchus griseus,accepted,Hexanchus griseus,TRUE
Fis-29416,Hexanchus nakamurai,161352,Hexanchus nakamurai,accepted,Hexanchus nakamurai,TRUE
Fis-152442,Hexanematichthys sagor,NA,Hexanematichthys sagor,accepted,Hexanematichthys sagor,TRUE
Fis-30995,Hexatrygon bickelli,161674,Hexatrygon bickelli,accepted,Hexatrygon bickelli,TRUE
Fis-23545,Hilsa kelee,NA,Hilsa kelee,accepted,Hilsa kelee,TRUE
Fis-50396,Himantolophus albinares,NA,Himantolophus albinares,accepted,Himantolophus albinares,TRUE
Fis-56411,Himantolophus appelii,NA,Himantolophus appelii,accepted,Himantolophus appelii,TRUE
Fis-30110,Himantolophus groenlandicus,NA,Himantolophus groenlandicus,accepted,Himantolophus groenlandicus,TRUE
Fis-149060,Himantolophus paucifilosus,NA,Himantolophus paucifilosus,accepted,Himantolophus paucifilosus,TRUE
Fis-143868,Himantolophus sagamius,NA,Himantolophus sagamius,accepted,Himantolophus sagamius,TRUE
Fis-161488,Himantura astra,195455,Himantura astra,accepted,Himantura astra,TRUE
Fis-28785,Himantura bleekeri,NA,Himantura bleekeri,accepted,Himantura bleekeri,TRUE
Fis-35264,Himantura fai,161615,Himantura fai,accepted,Himantura fai,TRUE
Fis-47488,Himantura gerrardi,161566,Himantura gerrardi,accepted,Himantura gerrardi,TRUE
Fis-28555,Himantura granulata,161431,Himantura granulata,accepted,Himantura granulata,TRUE
Fis-28787,Himantura imbricata,161728,Himantura imbricata,accepted,Himantura imbricata,TRUE
Fis-35265,Himantura jenkinsii,161744,Himantura jenkinsii,accepted,Himantura jenkinsii,TRUE
Fis-161480,Himantura leoparda,195456,Himantura leoparda,accepted,Himantura leoparda,TRUE
Fis-23546,Himantura schmardae,60161,Himantura schmardae,accepted,Himantura schmardae,TRUE
Fis-47495,Himantura toshi,161505,Himantura toshi,accepted,Himantura toshi,TRUE
Fis-26148,Himantura uarnak,161692,Himantura uarnak,accepted,Himantura uarnak,TRUE
Fis-135992,Hime curtirostris,NA,Hime curtirostris,accepted,Hime curtirostris,TRUE
Fis-136013,Hime japonica,NA,Hime japonica,accepted,Hime japonica,TRUE
Fis-32119,Hintonia candens,NA,Hintonia candens,accepted,Hintonia candens,TRUE
Fis-26668,Hippichthys cyanospilos,NA,Hippichthys cyanospilos,accepted,Hippichthys cyanospilos,TRUE
Fis-26669,Hippichthys penicillus,172469,Hippichthys penicillus,accepted,Hippichthys penicillus,TRUE
Fis-26563,Hippichthys spicifer,154855,Hippichthys spicifer,accepted,Hippichthys spicifer,TRUE
Fis-112788,Hippocampus abdominalis,10057,Hippocampus abdominalis,accepted,Hippocampus abdominalis,TRUE
Fis-145689,Hippocampus alatus,199858,Hippocampus alatus,accepted,Hippocampus alatus,TRUE
Fis-130608,Hippocampus algiricus,41007,Hippocampus algiricus,accepted,Hippocampus algiricus,TRUE
Fis-35481,Hippocampus angustus,41004,Hippocampus angustus,accepted,Hippocampus angustus,TRUE
Fis-130613,Hippocampus barbouri,40802,Hippocampus barbouri,accepted,Hippocampus barbouri,TRUE
Fis-130617,Hippocampus bargibanti,10060,Hippocampus bargibanti,accepted,Hippocampus bargibanti,TRUE
Fis-59130,Hippocampus breviceps,10063,Hippocampus breviceps,accepted,Hippocampus breviceps,TRUE
Fis-130620,Hippocampus comes,41008,Hippocampus comes,accepted,Hippocampus comes,TRUE
Fis-53157,Hippocampus coronatus,10065,Hippocampus coronatus,accepted,Hippocampus coronatus,TRUE
Fis-147871,Hippocampus denise,41716,Hippocampus denise,accepted,Hippocampus denise,TRUE
Fis-30112,Hippocampus erectus,10066,Hippocampus erectus,accepted,Hippocampus erectus,TRUE
Fis-130691,Hippocampus guttulatus,41006,Hippocampus guttulatus,accepted,Hippocampus guttulatus,TRUE
Fis-23547,Hippocampus hippocampus,10069,Hippocampus hippocampus,accepted,Hippocampus hippocampus,TRUE
Fis-31607,Hippocampus histrix,10070,Hippocampus histrix,accepted,Hippocampus histrix,TRUE
Fis-30113,Hippocampus ingens,10072,Hippocampus ingens,accepted,Hippocampus ingens,TRUE
Fis-130734,Hippocampus kelloggi,41010,Hippocampus kelloggi,accepted,Hippocampus kelloggi,TRUE
Fis-31608,Hippocampus kuda,10075,Hippocampus kuda,accepted,Hippocampus kuda,TRUE
Fis-131073,Hippocampus mohnikei,41005,Hippocampus mohnikei,accepted,Hippocampus mohnikei,TRUE
Fis-162261,Hippocampus pontohi,172282,Hippocampus pontohi,accepted,Hippocampus pontohi,TRUE
Fis-30115,Hippocampus reidi,10082,Hippocampus reidi,accepted,Hippocampus reidi,TRUE
Fis-59177,Hippocampus spinosissimus,10084,Hippocampus spinosissimus,accepted,Hippocampus spinosissimus,TRUE
Fis-52583,Hippocampus trimaculatus,10087,Hippocampus trimaculatus,accepted,Hippocampus trimaculatus,TRUE
Fis-52589,Hippocampus whitei,10088,Hippocampus whitei,accepted,Hippocampus whitei,TRUE
Fis-30116,Hippocampus zosterae,10089,Hippocampus zosterae,accepted,Hippocampus zosterae,TRUE
Fis-35685,Hippoglossina bollmani,183374,Hippoglossina bollmani,accepted,Hippoglossina bollmani,TRUE
Fis-35686,Hippoglossina macrops,183761,Hippoglossina macrops,accepted,Hippoglossina macrops,TRUE
Fis-150239,Hippoglossina oblonga,NA,Hippoglossina oblonga,accepted,Hippoglossina oblonga,TRUE
Fis-30818,Hippoglossina stomata,155058,Hippoglossina stomata,accepted,Hippoglossina stomata,TRUE
Fis-29025,Hippoglossina tetrophthalma,183933,Hippoglossina tetrophthalma,accepted,Hippoglossina tetrophthalma,TRUE
Fis-33023,Hippoglossoides dubius,NA,Hippoglossoides dubius,accepted,Hippoglossoides dubius,TRUE
Fis-29417,Hippoglossoides elassodon,NA,Hippoglossoides elassodon,accepted,Hippoglossoides elassodon,TRUE
Fis-24675,Hippoglossoides platessoides,NA,Hippoglossoides platessoides,accepted,Hippoglossoides platessoides,TRUE
Fis-30819,Hippoglossoides robustus,NA,Hippoglossoides robustus,accepted,Hippoglossoides robustus,TRUE
Fis-23548,Hippoglossus hippoglossus,10097,Hippoglossus hippoglossus,accepted,Hippoglossus hippoglossus,TRUE
Fis-29418,Hippoglossus stenolepis,NA,Hippoglossus stenolepis,accepted,Hippoglossus stenolepis,TRUE
Fis-26760,Hipposcarus harid,190733,Hipposcarus harid,accepted,Hipposcarus harid,TRUE
Fis-25691,Hipposcarus longiceps,190745,Hipposcarus longiceps,accepted,Hipposcarus longiceps,TRUE
Fis-50524,Hirculops cornifer,NA,Hirculops cornifer,accepted,Hirculops cornifer,TRUE
Fis-26550,Hirundichthys affinis,NA,Hirundichthys affinis,accepted,Hirundichthys affinis,TRUE
Fis-28955,Hirundichthys albimaculatus,NA,Hirundichthys albimaculatus,accepted,Hirundichthys albimaculatus,TRUE
Fis-170165,Hirundichthys indicus,NA,Hirundichthys indicus,accepted,Hirundichthys indicus,TRUE
Fis-28949,Hirundichthys marginatus,183287,Hirundichthys marginatus,accepted,Hirundichthys marginatus,TRUE
Fis-23549,Hirundichthys oxycephalus,NA,Hirundichthys oxycephalus,accepted,Hirundichthys oxycephalus,TRUE
Fis-23550,Hirundichthys rondeletii,183776,Hirundichthys rondeletii,accepted,Hirundichthys rondeletii,TRUE
Fis-23551,Hirundichthys speculiger,NA,Hirundichthys speculiger,accepted,Hirundichthys speculiger,TRUE
Fis-26350,Histiobranchus bathybius,NA,Histiobranchus bathybius,accepted,Histiobranchus bathybius,TRUE
Fis-26396,Histiodraco velifer,NA,Histiodraco velifer,accepted,Histiodraco velifer,TRUE
Fis-112318,Histiogamphelus briggsii,NA,Histiogamphelus briggsii,accepted,Histiogamphelus briggsii,TRUE
Fis-112321,Histiogamphelus cristatus,NA,Histiogamphelus cristatus,accepted,Histiogamphelus cristatus,TRUE
Fis-56289,Histiophryne bougainvilli,NA,Histiophryne bougainvilli,accepted,Histiophryne bougainvilli,TRUE
Fis-29051,Histiophryne cryptacanthus,NA,Histiophryne cryptacanthus,accepted,Histiophryne cryptacanthus,TRUE
Fis-32572,Histiopterus typus,NA,Histiopterus typus,accepted,Histiopterus typus,TRUE
Fis-24676,Histrio histrio,NA,Histrio histrio,accepted,Histrio histrio,TRUE
Fis-24676,Histrio histrio,NA,Histrio histrio,unaccepted,Histriculus histrio,FALSE
Fis-34365,Holacanthus africanus,165825,Holacanthus africanus,accepted,Holacanthus africanus,TRUE
Fis-30117,Holacanthus bermudensis,165832,Holacanthus bermudensis,accepted,Holacanthus bermudensis,TRUE
Fis-24677,Holacanthus ciliaris,165883,Holacanthus ciliaris,accepted,Holacanthus ciliaris,TRUE
Fis-32755,Holacanthus passer,165880,Holacanthus passer,accepted,Holacanthus passer,TRUE
Fis-24678,Holacanthus tricolor,165879,Holacanthus tricolor,accepted,Holacanthus tricolor,TRUE
Fis-112710,Holcomycteronus squamosus,NA,Holcomycteronus squamosus,accepted,Holcomycteronus squamosus,TRUE
Fis-35198,Hollardia hollardi,NA,Hollardia hollardi,accepted,Hollardia hollardi,TRUE
Fis-30820,Hollardia meadi,NA,Hollardia meadi,accepted,Hollardia meadi,TRUE
Fis-21249,Holocentrus adscensionis,NA,Holocentrus adscensionis,accepted,Holocentrus adscensionis,TRUE
Fis-23554,Holocentrus rufus,NA,Holocentrus rufus,accepted,Holocentrus rufus,TRUE
Fis-25727,Hologymnosus annulatus,187698,Hologymnosus annulatus,accepted,Hologymnosus annulatus,TRUE
Fis-25728,Hologymnosus doliatus,187527,Hologymnosus doliatus,accepted,Hologymnosus doliatus,TRUE
Fis-28752,Hologymnosus longipes,187406,Hologymnosus longipes,accepted,Hologymnosus longipes,TRUE
Fis-32426,Hologymnosus rhodonotus,187627,Hologymnosus rhodonotus,accepted,Hologymnosus rhodonotus,TRUE
Fis-23158,Holohalaelurus punctatus,161675,Holohalaelurus punctatus,accepted,Holohalaelurus punctatus,TRUE
Fis-23159,Holohalaelurus regani,161574,Holohalaelurus regani,accepted,Holohalaelurus regani,TRUE
Fis-34480,Holtbyrnia anomala,NA,Holtbyrnia anomala,accepted,Holtbyrnia anomala,TRUE
Fis-124812,Holtbyrnia cyanocephala,NA,Holtbyrnia cyanocephala,accepted,Holtbyrnia cyanocephala,TRUE
Fis-28112,Holtbyrnia innesi,NA,Holtbyrnia innesi,accepted,Holtbyrnia innesi,TRUE
Fis-48148,Holtbyrnia laticauda,NA,Holtbyrnia laticauda,accepted,Holtbyrnia laticauda,TRUE
Fis-132808,Holtbyrnia latifrons,NA,Holtbyrnia latifrons,accepted,Holtbyrnia latifrons,TRUE
Fis-34502,Holtbyrnia macrops,NA,Holtbyrnia macrops,accepted,Holtbyrnia macrops,TRUE
Fis-32885,Homostolus acer,NA,Homostolus acer,accepted,Homostolus acer,TRUE
Fis-34105,Hoplichthys acanthopleurus,NA,Hoplichthys acanthopleurus,accepted,Hoplichthys acanthopleurus,TRUE
Fis-35968,Hoplichthys citrinus,NA,Hoplichthys citrinus,accepted,Hoplichthys citrinus,TRUE
Fis-35969,Hoplichthys filamentosus,NA,Hoplichthys filamentosus,accepted,Hoplichthys filamentosus,TRUE
Fis-26933,Hoplichthys gilberti,NA,Hoplichthys gilberti,accepted,Hoplichthys gilberti,TRUE
Fis-35819,Hoplichthys haswelli,NA,Hoplichthys haswelli,accepted,Hoplichthys haswelli,TRUE
Fis-54529,Hoplichthys langsdorfii,NA,Hoplichthys langsdorfii,accepted,Hoplichthys langsdorfii,TRUE
Fis-35970,Hoplichthys ogilbyi,NA,Hoplichthys ogilbyi,accepted,Hoplichthys ogilbyi,TRUE
Fis-34036,Hoplichthys regani,NA,Hoplichthys regani,accepted,Hoplichthys regani,TRUE
Fis-28543,Hoplobrotula armata,NA,Hoplobrotula armata,accepted,Hoplobrotula armata,TRUE
Fis-32458,Hoplobrotula gnathopus,NA,Hoplobrotula gnathopus,accepted,Hoplobrotula gnathopus,TRUE
Fis-31538,Hoplolatilus cuniculus,NA,Hoplolatilus cuniculus,accepted,Hoplolatilus cuniculus,TRUE
Fis-25819,Hoplolatilus fronticinctus,NA,Hoplolatilus fronticinctus,accepted,Hoplolatilus fronticinctus,TRUE
Fis-164920,Hoplolatilus randalli,NA,Hoplolatilus randalli,accepted,Hoplolatilus randalli,TRUE
Fis-31539,Hoplolatilus starcki,NA,Hoplolatilus starcki,accepted,Hoplolatilus starcki,TRUE
Fis-58147,Hoplopagrus guentherii,183295,Hoplopagrus guentherii,accepted,Hoplopagrus guentherii,TRUE
Fis-29419,Hoplostethus atlanticus,NA,Hoplostethus atlanticus,accepted,Hoplostethus atlanticus,TRUE
Fis-31398,Hoplostethus cadenati,NA,Hoplostethus cadenati,accepted,Hoplostethus cadenati,TRUE
Fis-47751,Hoplostethus crassispinus,NA,Hoplostethus crassispinus,accepted,Hoplostethus crassispinus,TRUE
Fis-29067,Hoplostethus intermedius,NA,Hoplostethus intermedius,accepted,Hoplostethus intermedius,TRUE
Fis-35895,Hoplostethus latus,NA,Hoplostethus latus,accepted,Hoplostethus latus,TRUE
Fis-31166,Hoplostethus mediterraneus,NA,Hoplostethus mediterraneus,alternate representation,Hoplostethus mediterraneus mediterraneus,FALSE
Fis-47773,Hoplostethus melanopterus,NA,Hoplostethus melanopterus,accepted,Hoplostethus melanopterus,TRUE
Fis-27883,Hoplostethus melanopus,NA,Hoplostethus melanopus,accepted,Hoplostethus melanopus,TRUE
Fis-47774,Hoplostethus mento,NA,Hoplostethus mento,accepted,Hoplostethus mento,TRUE
Fis-47739,Hoplostethus occidentalis,NA,Hoplostethus occidentalis,accepted,Hoplostethus occidentalis,TRUE
Fis-163671,Hoplostethus ravurictus,NA,Hoplostethus ravurictus,accepted,Hoplostethus ravurictus,TRUE
Fis-155662,Hoplunnis diomediana,NA,Hoplunnis diomediana,accepted,Hoplunnis diomediana,TRUE
Fis-149504,Hoplunnis macrura,NA,Hoplunnis macrura,accepted,Hoplunnis macrura,TRUE
Fis-123123,Hoplunnis pacifica,NA,Hoplunnis pacifica,accepted,Hoplunnis pacifica,TRUE
Fis-33163,Hoplunnis punctata,NA,Hoplunnis punctata,accepted,Hoplunnis punctata,TRUE
Fis-143712,Hoplunnis similis,NA,Hoplunnis similis,accepted,Hoplunnis similis,TRUE
Fis-30122,Hoplunnis tenuis,NA,Hoplunnis tenuis,accepted,Hoplunnis tenuis,TRUE
Fis-34831,Howella brodiei,NA,Howella brodiei,accepted,Howella brodiei,TRUE
Fis-53728,Howella parini,NA,Howella parini,accepted,Howella parini,TRUE
Fis-25433,Howella sherborni,NA,Howella sherborni,accepted,Howella sherborni,TRUE
Fis-53729,Howella zina,NA,Howella zina,accepted,Howella zina,TRUE
Fis-25629,Hydrolagus affinis,63123,Hydrolagus affinis,accepted,Hydrolagus affinis,TRUE
Fis-27681,Hydrolagus africanus,60188,Hydrolagus africanus,accepted,Hydrolagus africanus,TRUE
Fis-146557,Hydrolagus bemisi,41826,Hydrolagus bemisi,accepted,Hydrolagus bemisi,TRUE
Fis-24068,Hydrolagus colliei,60191,Hydrolagus colliei,accepted,Hydrolagus colliei,TRUE
Fis-161512,Hydrolagus homonycteris,195433,Hydrolagus homonycteris,accepted,Hydrolagus homonycteris,TRUE
Fis-47319,Hydrolagus lemures,60192,Hydrolagus lemures,accepted,Hydrolagus lemures,TRUE
Fis-163002,Hydrolagus melanophasma,195435,Hydrolagus melanophasma,accepted,Hydrolagus melanophasma,TRUE
Fis-27249,Hydrolagus mirabilis,63104,Hydrolagus mirabilis,accepted,Hydrolagus mirabilis,TRUE
Fis-52790,Hydrolagus mitsukurii,60194,Hydrolagus mitsukurii,accepted,Hydrolagus mitsukurii,TRUE
Fis-28784,Hydrolagus novaezealandiae,41827,Hydrolagus novaezealandiae,accepted,Hydrolagus novaezealandiae,TRUE
Fis-55116,Hydrolagus ogilbyi,60195,Hydrolagus ogilbyi,accepted,Hydrolagus ogilbyi,TRUE
Fis-63099,Hydrolagus pallidus,63103,Hydrolagus pallidus,accepted,Hydrolagus pallidus,TRUE
Fis-146607,Hydrolagus trolli,60197,Hydrolagus trolli,accepted,Hydrolagus trolli,TRUE
Fis-132479,Hygophum atratum,NA,Hygophum atratum,accepted,Hygophum atratum,TRUE
Fis-23555,Hygophum benoiti,NA,Hygophum benoiti,accepted,Hygophum benoiti,TRUE
Fis-50136,Hygophum hanseni,NA,Hygophum hanseni,accepted,Hygophum hanseni,TRUE
Fis-23556,Hygophum hygomii,NA,Hygophum hygomii,accepted,Hygophum hygomii,TRUE
Fis-49981,Hygophum macrochir,NA,Hygophum macrochir,accepted,Hygophum macrochir,TRUE
Fis-31001,Hygophum proximum,155160,Hygophum proximum,accepted,Hygophum proximum,TRUE
Fis-25165,Hygophum reinhardtii,NA,Hygophum reinhardtii,accepted,Hygophum reinhardtii,TRUE
Fis-49043,Hygophum taaningi,NA,Hygophum taaningi,accepted,Hygophum taaningi,TRUE
Fis-141387,Hymenocephalus aterrimus,NA,Hymenocephalus aterrimus,accepted,Hymenocephalus aterrimus,TRUE
Fis-57660,Hymenocephalus billsam,NA,Hymenocephalus billsam,accepted,Hymenocephalus billsam,TRUE
Fis-30130,Hymenocephalus italicus,NA,Hymenocephalus italicus,accepted,Hymenocephalus italicus,TRUE
Fis-53280,Hymenocephalus lethonemus,NA,Hymenocephalus lethonemus,accepted,Hymenocephalus lethonemus,TRUE
Fis-28171,Hymenocephalus longibarbis,NA,Hymenocephalus longibarbis,accepted,Hymenocephalus longibarbis,TRUE
Fis-53265,Hymenocephalus longiceps,NA,Hymenocephalus longiceps,accepted,Hymenocephalus longiceps,TRUE
Fis-127065,Hymenocephalus longipes,NA,Hymenocephalus longipes,accepted,Hymenocephalus longipes,TRUE
Fis-144098,Hymenocephalus megalops,NA,Hymenocephalus megalops,accepted,Hymenocephalus megalops,TRUE
Fis-144140,Hymenocephalus nascens,NA,Hymenocephalus nascens,accepted,Hymenocephalus nascens,TRUE
Fis-53273,Hymenocephalus striatissimus,NA,Hymenocephalus striatissimus,alternate representation,Hymenocephalus striatissimus striatissimus,FALSE
Fis-126941,Hymenocephalus striatulus,NA,Hymenocephalus striatulus,accepted,Hymenocephalus striatulus,TRUE
Fis-119482,Hymenocephalus torvus,NA,Hymenocephalus torvus,unaccepted,Hymenocephalus striatissimus torvus,FALSE
Fis-53281,Hymenogadus gracilis,NA,Hymenogadus gracilis,unaccepted,Hymenocephalus gracilis,FALSE
Fis-23557,Hyperlophus vittatus,NA,Hyperlophus vittatus,accepted,Hyperlophus vittatus,TRUE
Fis-23160,Hyperoglyphe antarctica,NA,Hyperoglyphe antarctica,accepted,Hyperoglyphe antarctica,TRUE
Fis-28745,Hyperoglyphe japonica,NA,Hyperoglyphe japonica,accepted,Hyperoglyphe japonica,TRUE
Fis-24685,Hyperoglyphe perciformis,155081,Hyperoglyphe perciformis,accepted,Hyperoglyphe perciformis,TRUE
Fis-23558,Hyperoplus immaculatus,NA,Hyperoplus immaculatus,accepted,Hyperoplus immaculatus,TRUE
Fis-23559,Hyperoplus lanceolatus,NA,Hyperoplus lanceolatus,accepted,Hyperoplus lanceolatus,TRUE
Fis-30134,Hyperprosopon argenteum,NA,Hyperprosopon argenteum,accepted,Hyperprosopon argenteum,TRUE
Fis-24687,Hypleurochilus aequipinnis,NA,Hypleurochilus aequipinnis,accepted,Hypleurochilus aequipinnis,TRUE
Fis-30135,Hypleurochilus bermudensis,NA,Hypleurochilus bermudensis,accepted,Hypleurochilus bermudensis,TRUE
Fis-127090,Hypleurochilus fissicornis,NA,Hypleurochilus fissicornis,accepted,Hypleurochilus fissicornis,TRUE
Fis-24688,Hypleurochilus geminatus,NA,Hypleurochilus geminatus,accepted,Hypleurochilus geminatus,TRUE
Fis-30136,Hypleurochilus springeri,NA,Hypleurochilus springeri,accepted,Hypleurochilus springeri,TRUE
Fis-139820,Hypnos monopterygius,41828,Hypnos monopterygius,accepted,Hypnos monopterygius,TRUE
Fis-30137,Hypoatherina barnesi,NA,Hypoatherina barnesi,accepted,Hypoatherina barnesi,TRUE
Fis-24689,Hypoatherina harringtonensis,NA,Hypoatherina harringtonensis,accepted,Hypoatherina harringtonensis,TRUE
Fis-26860,Hypoatherina ovalaua,NA,Hypoatherina ovalaua,accepted,Hypoatherina ovalaua,TRUE
Fis-23560,Hypoatherina temminckii,NA,Hypoatherina temminckii,accepted,Hypoatherina temminckii,TRUE
Fis-47443,Hypoatherina tropicalis,NA,Hypoatherina tropicalis,accepted,Hypoatherina tropicalis,TRUE
Fis-47444,Hypoatherina valenciennei,NA,Hypoatherina valenciennei,accepted,Hypoatherina valenciennei,TRUE
Fis-25902,Hypogaleus hyugaensis,39354,Hypogaleus hyugaensis,accepted,Hypogaleus hyugaensis,TRUE
Fis-22880,Hypomesus pretiosus,NA,Hypomesus pretiosus,accepted,Hypomesus pretiosus,TRUE
Fis-150434,Hypoplectrodes nigroruber,NA,Hypoplectrodes nigroruber,accepted,Hypoplectrodes nigroruber,TRUE
Fis-150432,Hypoplectrodes wilsoni,NA,Hypoplectrodes wilsoni,accepted,Hypoplectrodes wilsoni,TRUE
Fis-116271,Hypoplectrus aberrans,NA,Hypoplectrus aberrans,accepted,Hypoplectrus aberrans,TRUE
Fis-28615,Hypoplectrus chlorurus,NA,Hypoplectrus chlorurus,accepted,Hypoplectrus chlorurus,TRUE
Fis-49798,Hypoplectrus gummigutta,NA,Hypoplectrus gummigutta,accepted,Hypoplectrus gummigutta,TRUE
Fis-49799,Hypoplectrus guttavarius,NA,Hypoplectrus guttavarius,accepted,Hypoplectrus guttavarius,TRUE
Fis-28616,Hypoplectrus indigo,NA,Hypoplectrus indigo,accepted,Hypoplectrus indigo,TRUE
Fis-49800,Hypoplectrus nigricans,NA,Hypoplectrus nigricans,accepted,Hypoplectrus nigricans,TRUE
Fis-28614,Hypoplectrus puella,NA,Hypoplectrus puella,accepted,Hypoplectrus puella,TRUE
Fis-24690,Hypoplectrus unicolor,NA,Hypoplectrus unicolor,accepted,Hypoplectrus unicolor,TRUE
Fis-34071,Hypopleuron caninum,NA,Hypopleuron caninum,accepted,Hypopleuron caninum,TRUE
Fis-29420,Hypoptychus dybowskii,NA,Hypoptychus dybowskii,accepted,Hypoptychus dybowskii,TRUE
Fis-154433,Hyporhamphus acutus,NA,Hyporhamphus acutus,alternate representation,Hyporhamphus acutus acutus,FALSE
Fis-26655,Hyporhamphus affinis,NA,Hyporhamphus affinis,accepted,Hyporhamphus affinis,TRUE
Fis-28604,Hyporhamphus australis,NA,Hyporhamphus australis,accepted,Hyporhamphus australis,TRUE
Fis-50239,Hyporhamphus balinensis,NA,Hyporhamphus balinensis,accepted,Hyporhamphus balinensis,TRUE
Fis-26656,Hyporhamphus capensis,NA,Hyporhamphus capensis,accepted,Hyporhamphus capensis,TRUE
Fis-28674,Hyporhamphus dussumieri,NA,Hyporhamphus dussumieri,accepted,Hyporhamphus dussumieri,TRUE
Fis-35622,Hyporhamphus gilli,183595,Hyporhamphus gilli,accepted,Hyporhamphus gilli,TRUE
Fis-26961,Hyporhamphus limbatus,166900,Hyporhamphus limbatus,accepted,Hyporhamphus limbatus,TRUE
Fis-129877,Hyporhamphus meeki,NA,Hyporhamphus meeki,accepted,Hyporhamphus meeki,TRUE
Fis-29192,Hyporhamphus melanochir,NA,Hyporhamphus melanochir,accepted,Hyporhamphus melanochir,TRUE
Fis-50245,Hyporhamphus neglectissimus,NA,Hyporhamphus neglectissimus,accepted,Hyporhamphus neglectissimus,TRUE
Fis-50244,Hyporhamphus neglectus,NA,Hyporhamphus neglectus,accepted,Hyporhamphus neglectus,TRUE
Fis-27253,Hyporhamphus picarti,NA,Hyporhamphus picarti,accepted,Hyporhamphus picarti,TRUE
Fis-26934,Hyporhamphus quoyi,NA,Hyporhamphus quoyi,accepted,Hyporhamphus quoyi,TRUE
Fis-24691,Hyporhamphus rosae,183993,Hyporhamphus rosae,accepted,Hyporhamphus rosae,TRUE
Fis-23561,Hyporhamphus unifasciatus,NA,Hyporhamphus unifasciatus,accepted,Hyporhamphus unifasciatus,TRUE
Fis-163774,Hyporthodus acanthistius,132730,Hyporthodus acanthistius,accepted,Hyporthodus acanthistius,TRUE
Fis-163776,Hyporthodus ergastularius,132795,Hyporthodus ergastularius,accepted,Hyporthodus ergastularius,TRUE
Fis-163777,Hyporthodus flavolimbatus,64400,Hyporthodus flavolimbatus,accepted,Hyporthodus flavolimbatus,TRUE
Fis-164463,Hyporthodus haifensis,132828,Hyporthodus haifensis,accepted,Hyporthodus haifensis,TRUE
Fis-163778,Hyporthodus mystacinus,132827,Hyporthodus mystacinus,accepted,Hyporthodus mystacinus,TRUE
Fis-163779,Hyporthodus nigritus,7860,Hyporthodus nigritus,accepted,Hyporthodus nigritus,TRUE
Fis-163780,Hyporthodus niphobles,132734,Hyporthodus niphobles,accepted,Hyporthodus niphobles,TRUE
Fis-163781,Hyporthodus niveatus,7861,Hyporthodus niveatus,accepted,Hyporthodus niveatus,TRUE
Fis-163782,Hyporthodus octofasciatus,132772,Hyporthodus octofasciatus,accepted,Hyporthodus octofasciatus,TRUE
Fis-163783,Hyporthodus quernus,44675,Hyporthodus quernus,accepted,Hyporthodus quernus,TRUE
Fis-163784,Hyporthodus septemfasciatus,132807,Hyporthodus septemfasciatus,accepted,Hyporthodus septemfasciatus,TRUE
Fis-24693,Hypsagonus quadricornis,NA,Hypsagonus quadricornis,accepted,Hypsagonus quadricornis,TRUE
Fis-27605,Hypseleotris cyprinoides,63355,Hypseleotris cyprinoides,accepted,Hypseleotris cyprinoides,TRUE
Fis-60621,Hypseleotris guentheri,NA,Hypseleotris guentheri,accepted,Hypseleotris guentheri,TRUE
Fis-26938,Hypsoblennius brevipinnis,183425,Hypsoblennius brevipinnis,accepted,Hypsoblennius brevipinnis,TRUE
Fis-24694,Hypsoblennius gentilis,183611,Hypsoblennius gentilis,accepted,Hypsoblennius gentilis,TRUE
Fis-155663,Hypsoblennius hentz,NA,Hypsoblennius hentz,accepted,Hypsoblennius hentz,TRUE
Fis-155663,Hypsoblennius hentz,NA,Hypsoblennius hentz,unaccepted,Hypsoblennius hentz,TRUE
Fis-24699,Hypsopsetta guttulata,183514,Hypsopsetta guttulata,accepted,Hypsopsetta guttulata,TRUE
Fis-24701,Hypsypops rubicundus,183367,Hypsypops rubicundus,accepted,Hypsypops rubicundus,TRUE
Fis-31589,Iago garricki,41829,Iago garricki,accepted,Iago garricki,TRUE
Fis-25903,Iago omanensis,161501,Iago omanensis,accepted,Iago omanensis,TRUE
Fis-30821,Icelinus borealis,NA,Icelinus borealis,accepted,Icelinus borealis,TRUE
Fis-30822,Icelinus burchami,NA,Icelinus burchami,accepted,Icelinus burchami,TRUE
Fis-30823,Icelinus cavifrons,NA,Icelinus cavifrons,accepted,Icelinus cavifrons,TRUE
Fis-30824,Icelinus filamentosus,155216,Icelinus filamentosus,accepted,Icelinus filamentosus,TRUE
Fis-30825,Icelinus fimbriatus,NA,Icelinus fimbriatus,accepted,Icelinus fimbriatus,TRUE
Fis-24703,Icelinus quadriseriatus,NA,Icelinus quadriseriatus,accepted,Icelinus quadriseriatus,TRUE
Fis-30827,Icelinus tenuis,NA,Icelinus tenuis,accepted,Icelinus tenuis,TRUE
Fis-24702,Icelus bicornis,NA,Icelus bicornis,accepted,Icelus bicornis,TRUE
Fis-54551,Icelus canaliculatus,NA,Icelus canaliculatus,accepted,Icelus canaliculatus,TRUE
Fis-54545,Icelus cataphractus,NA,Icelus cataphractus,accepted,Icelus cataphractus,TRUE
